Date,Open,High,Low,Close,Volume,Adj Close,Var,Lag1,Lag2,Lag3,Lag4,Numeric_date
11/09/2012,0.805,0.81,0.77,0.805,1943100,0.805,0,0.067639257,0.117037037,0.121262458,-0.004958678,41163
12/09/2012,0.809,0.857,0.786,0.846,3538900,0.846,0.050931677,0,0.067639257,0.117037037,0.121262458,41164
13/09/2012,0.85,0.88,0.841,0.86,2632100,0.86,0.016548463,0.050931677,0,0.067639257,0.117037037,41165
14/09/2012,0.88,0.919,0.867,0.876,2208300,0.876,0.018604651,0.016548463,0.050931677,0,0.067639257,41166
17/09/2012,0.858,0.873,0.841,0.85,1580900,0.85,-0.029680365,0.018604651,0.016548463,0.050931677,0,41169
18/09/2012,0.845,0.845,0.81,0.815,2157800,0.815,-0.041176471,-0.029680365,0.018604651,0.016548463,0.050931677,41170
19/09/2012,0.81,0.87,0.81,0.816,1381600,0.816,0.001226994,-0.041176471,-0.029680365,0.018604651,0.016548463,41171
20/09/2012,0.815,0.83,0.8,0.819,1373000,0.819,0.003676471,0.001226994,-0.041176471,-0.029680365,0.018604651,41172
21/09/2012,0.82,0.838,0.82,0.83,991100,0.83,0.013431013,0.003676471,0.001226994,-0.041176471,-0.029680365,41173
24/09/2012,0.835,0.835,0.811,0.811,1016500,0.811,-0.022891566,0.013431013,0.003676471,0.001226994,-0.041176471,41176
25/09/2012,0.81,0.811,0.762,0.789,1867000,0.789,-0.027127004,-0.022891566,0.013431013,0.003676471,0.001226994,41177
26/09/2012,0.786,0.786,0.741,0.745,2393900,0.745,-0.055766793,-0.027127004,-0.022891566,0.013431013,0.003676471,41178
27/09/2012,0.74,0.78,0.73,0.767,818600,0.767,0.029530201,-0.055766793,-0.027127004,-0.022891566,0.013431013,41179
28/09/2012,0.78,0.788,0.75,0.76,1059600,0.76,-0.009126467,0.029530201,-0.055766793,-0.027127004,-0.022891566,41180
01/10/2012,0.77,0.785,0.77,0.785,854000,0.785,0.032894737,-0.009126467,0.029530201,-0.055766793,-0.027127004,41183
02/10/2012,0.789,0.818,0.781,0.804,837700,0.804,0.024203822,0.032894737,-0.009126467,0.029530201,-0.055766793,41184
03/10/2012,0.815,0.815,0.798,0.813,1086800,0.813,0.01119403,0.024203822,0.032894737,-0.009126467,0.029530201,41185
04/10/2012,0.82,0.844,0.81,0.835,1721000,0.835,0.027060271,0.01119403,0.024203822,0.032894737,-0.009126467,41186
05/10/2012,0.85,0.862,0.835,0.857,1225700,0.857,0.026347305,0.027060271,0.01119403,0.024203822,0.032894737,41187
08/10/2012,0.851,0.86,0.832,0.851,801500,0.851,-0.007001167,0.026347305,0.027060271,0.01119403,0.024203822,41190
09/10/2012,0.855,0.863,0.842,0.86,1750200,0.86,0.010575793,-0.007001167,0.026347305,0.027060271,0.01119403,41191
10/10/2012,0.856,0.858,0.844,0.847,429500,0.847,-0.015116279,0.010575793,-0.007001167,0.026347305,0.027060271,41192
11/10/2012,0.84,0.855,0.828,0.84,1971200,0.84,-0.008264463,-0.015116279,0.010575793,-0.007001167,0.026347305,41193
12/10/2012,0.846,0.859,0.834,0.838,555000,0.838,-0.002380952,-0.008264463,-0.015116279,0.010575793,-0.007001167,41194
15/10/2012,0.843,0.849,0.84,0.845,374200,0.845,0.008353222,-0.002380952,-0.008264463,-0.015116279,0.010575793,41197
16/10/2012,0.842,0.848,0.837,0.844,1534600,0.844,-0.001183432,0.008353222,-0.002380952,-0.008264463,-0.015116279,41198
17/10/2012,0.845,0.849,0.833,0.846,787900,0.846,0.002369668,-0.001183432,0.008353222,-0.002380952,-0.008264463,41199
18/10/2012,0.845,0.885,0.845,0.884,2501500,0.884,0.044917258,0.002369668,-0.001183432,0.008353222,-0.002380952,41200
19/10/2012,0.882,0.912,0.853,0.878,2690000,0.878,-0.00678733,0.044917258,0.002369668,-0.001183432,0.008353222,41201
22/10/2012,0.88,0.91,0.88,0.897,1358700,0.897,0.021640091,-0.00678733,0.044917258,0.002369668,-0.001183432,41204
